# DIST_PNC,OXFORD_COMMAS,NUM_PARAGRAPHS,NORM_FULL_STOPS,NORM_COMMAS,AVG_SENT_LEN,UNIGRAM_OVERLAP,BIGRAM_OVERLAP,TRIGRAM_OVERLAP,MATCHES_VOCAB_5K,MATCHES_VOCAB_10K,POLARITY,SUBJECTIVITY,SENTIMENT_ES,SENTIMENT_ML,SENTIMENT_ML_SCORE
3,0,2,0.10194175,0.04368932,22.95,0.0047619,0.00284091,0.0027248,0.70909091,0.04848485,0.37635417,0.74447917,0,1,0.75
2,0,1,0.11038961,0.03896104,17.125,0.00699301,0.0045045,0.00414938,0.60714286,0.01984127,0.00463542,0.5646875,0,1,1
4,3,1,0.10714286,0.07142857,15.78947368,0.00787402,0.0046729,0.00420168,0.64541833,0.02788845,0.26143229,0.444375,0,1,1
3,4,2,0.08982036,0.06586826,19.6875,0.008,0.00471698,0.0041841,0.66260163,0.0203252,0.09296875,0.47020833,0,1,1
2,0,1,0.21917808,0.01369863,7.5625,0.01785714,0.01149425,0.01010101,0.63461538,0.03846154,0.34375,0.78125,0.00000015,1,1
2,1,7,0.19487179,0.06666667,8.30952381,0.00584795,0.00404858,0.003861,0.69512195,0.02845528,0.08654168,0.64093004,0,1,1
2,1,4,0.15920398,0.09950249,9.05714286,0.00694444,0.004329,0.00404858,0.6031746,0.03968254,0.13164983,0.46216931,0,1,0.75
2,0,1,0.17857143,0.03571429,8.05128205,0.00680272,0.00429185,0.00401606,0.672,0.012,0.30216553,0.54078231,0.00009179,1,1
4,1,4,0.11398964,0.06217617,13.91304348,0.00609756,0.0041841,0.004,0.59274194,0.04032258,0.29833333,0.42763889,0,1,1
2,0,1,0.24418605,0.01162791,7.47619048,0.01234568,0.00854701,0.0078125,0.62222222,0.06666667,0.11789216,0.38921569,0.9999802,1,1
2,1,7,0.13,0.09,12.2962963,0.00621118,0.00416667,0.00393701,0.49011858,0.02766798,0.33458333,0.659375,0,1,0.75
2,0,4,0.11618257,0.0746888,13.4137931,0.00518135,0.00331126,0.00318471,0.53674121,0.01916933,0.08666667,0.42057971,0,1,1
2,0,4,0.12254902,0.08823529,13.75,0.00628931,0.00403226,0.00390625,0.53629032,0.03225806,0.21968864,0.37847985,0.00000002,1,1
2,0,1,0.25925926,0,7,0.00729927,0.00458716,0.00401606,0.63241107,0.01976285,0.42351399,0.58479021,0,1,1
3,0,1,0.08629442,0.03553299,26.35714286,0.00540541,0.00343643,0.00330033,0.63843648,0.02605863,0.2025641,0.52051282,0,1,0.75
4,4,1,0.11734694,0.12755102,12.96,0.00613497,0.00411523,0.00393701,0.59533074,0.0077821,0.28606494,0.52845455,0,0,0.5
4,2,1,0.13903743,0.05347594,12.70833333,0.00675676,0.00434783,0.00406504,0.59274194,0.00806452,0.15464545,0.59688485,0,1,0.75
2,3,1,0.18085106,0.04255319,9.09090909,0.00653595,0.00425532,0.00404858,0.59677419,0.02419355,0.40458333,0.64770833,0,1,0.75
4,1,1,0.18110236,0.03937008,8.52173913,0.00943396,0.00645161,0.00617284,0.57575758,0.03636364,0.4575469,0.60350409,0,1,1
3,0,1,0.14035088,0.02339181,11.76923077,0.00662252,0.00413223,0.00390625,0.70769231,0.01923077,0.22684063,0.48084736,0,1,0.75
3,2,4,0.109375,0.08854167,14.04166667,0.00588235,0.00384615,0.00371747,0.65283019,0.03018868,0.361375,0.58083333,0,1,1
2,0,1,0.17261905,0.01785714,11.25,0.00729927,0.00440529,0.00398406,0.64202335,0.02723735,0.10203095,0.34752857,0,1,0.75
2,3,1,0.18877551,0.05612245,8.2972973,0.00724638,0.00452489,0.00416667,0.62549801,0.02390438,0.2513468,0.42283951,0,1,0.75
3,0,5,0.1299435,0.02259887,12.51851852,0.00641026,0.00404858,0.00377358,0.73359073,0.01544402,0.38132687,0.67919935,0,1,1
3,0,1,0.08724832,0.01342282,24.83333333,0.00641026,0.00383142,0.00363636,0.73021583,0.05035971,-0.10735294,0.61323529,0,-1,0.25
2,0,1,0.16981132,0.03773585,11.16666667,0.0106383,0.00714286,0.00641026,0.73619632,0.03067485,-0.17738095,0.56011905,0,-1,0
2,0,2,0.15483871,0.04516129,12.82608696,0.00917431,0.005,0.00421941,0.83730159,0,-0.16150794,0.52698413,0,-1,0.25
4,0,1,0.16197183,0.05633803,14.83333333,0.0078125,0.00549451,0.00520833,0.68235294,0,0.12979167,0.47229167,0,-1,0
4,1,1,0.06696429,0.06696429,29.53333333,0.00469484,0.00293255,0.00278552,0.68945869,0.03418803,0.38680556,0.53218695,0,-1,0
2,0,2,0.24299065,0.00934579,7.15384615,0.01,0.00719424,0.00684932,0.62328767,0.01369863,-0.105,0.69333333,0,-1,0
7,0,2,0.08181818,0.01363636,22.80952381,0.00490196,0.00271739,0.0025,0.75,0.02777778,0.04746032,0.42647266,0,-1,0.25
2,0,1,0,0.08333333,21,0.0625,0.0625,0.06666667,0.76470588,0,0.325,0.56666667,0.00099342,1,1
2,0,4,0.13194444,0.03472222,16.29411765,0.00714286,0.00440529,0.00408163,0.81526104,0.01606426,-0.01852092,0.60531746,0,-1,0.25
2,0,1,0.0625,0.07386364,25.08333333,0.00729927,0.00438596,0.00411523,0.74609375,0.015625,-0.08541667,0.51666667,0,-1,0.25
4,0,1,0.16216216,0.05405405,12.5,0.02040816,0.01724138,0.01694915,0.75409836,0.03278689,0.202,0.506,0.00000026,0,0.5
4,1,1,0.10194175,0.01941748,20,0.0052356,0.0030581,0.0028169,0.75287356,0.04597701,0.06977513,0.55760582,0,-1,0
2,0,1,0.06666667,0.02666667,31.8,0.01086957,0.00699301,0.00671141,0.86,0.03333333,-0.12342301,0.47549474,0,-1,0
4,3,6,0.14448669,0.05703422,14.48571429,0.00408163,0.00259067,0.00251889,0.71128609,0.02624672,0.2158547,0.52217949,0,-1,0
2,2,4,0.19354839,0.02150538,11.82352941,0.0106383,0.00714286,0.00662252,0.64189189,0.03378378,-0.36623377,0.68571429,0,-1,0
3,0,1,0.09090909,0.0969697,24.21428571,0.00653595,0.00421941,0.003861,0.6770428,0.03891051,0.18343137,0.48138763,0,-1,0.25
2,1,1,0.16853933,0.05617978,12.2,0.0106383,0.00680272,0.00645161,0.77358491,0.01886792,-0.11760331,0.49283747,0,-1,0
4,2,1,0.09009009,0.05405405,19.3,0.01041667,0.00699301,0.00671141,0.70666667,0.02666667,-0.11402597,0.56974026,0,-1,0
4,1,1,0.14482759,0.02068966,15.85,0.00699301,0.00431034,0.00395257,0.72222222,0.01190476,-0.1397619,0.45269841,0,-1,0
3,0,1,0.17142857,0.04761905,10,0.00970874,0.00714286,0.00671141,0.77777778,0.01960784,-0.00128205,0.64551282,0,-1,0.25
4,5,1,0.10471204,0.12565445,17.25,0.00588235,0.00387597,0.0037594,0.75968992,0.01550388,0.06191095,0.50688002,0,-1,0
4,7,4,0.13586957,0.10869565,18.23809524,0.00574713,0.00358423,0.003367,0.61034483,0.01724138,-0.07135714,0.55171429,0,-1,0
2,0,1,0.18947368,0.09473684,10.11111111,0.0125,0.008,0.00714286,0.70322581,0.07741935,0.255,0.88636364,0,1,0.75
2,1,1,0.1025641,0.05128205,166.5,0.00649351,0.003861,0.00358423,0.74712644,0.02681992,0.47222222,0.6712963,0,-1,0.25
3,1,5,0.06422018,0.11009174,27.125,0.00555556,0.00304878,0.0027933,0.7942029,0.03188406,-0.05982143,0.61994048,0,-1,0
6,0,1,0.1122449,0.05612245,19.9,0.00571429,0.00364964,0.00328947,0.71972318,0.01730104,-0.08611111,0.44814815,0,-1,0
3,1,1,0.10119048,0.06547619,16.4,0.00649351,0.00420168,0.00393701,0.66269841,0.02777778,-0.00297619,0.5452381,0,-1,0.25
7,4,5,0.08550186,0.06319703,16.03125,0.00420168,0.00277008,0.00265957,0.65921788,0.01117318,-0.08882813,0.48145833,0,-1,0
4,0,1,0.20720721,0.01801802,8.08333333,0.01086957,0.00714286,0.00675676,0.68,0.04666667,0.05620066,0.60264833,0,-1,0
3,0,2,0.14619883,0.03508772,13.04,0.00657895,0.00414938,0.00387597,0.71255061,0.04048583,-0.15172414,0.65689655,0,-1,0
